layer,expert
0,14
0,19
0,37
0,60
0,62
0,67
0,90
0,93
0,98
0,110
0,120
0,165
0,167
0,169
0,176
0,187
0,192
0,198
0,201
0,212
0,213
0,215
0,216
0,227
0,237
0,240
0,241
0,251
0,253
0,272
0,282
0,289
0,291
0,294
0,297
0,304
0,309
0,315
0,316
0,322
0,354
0,358
0,380
0,386
0,392
0,395
0,396
0,400
0,401
0,435
0,453
0,475
0,480
0,493
0,499
1,4
1,36
1,57
1,60
1,62
1,74
1,86
1,88
1,130
1,143
1,157
1,160
1,171
1,186
1,206
1,215
1,233
1,235
1,237
1,238
1,244
1,245
1,265
1,287
1,293
1,294
1,302
1,313
1,319
1,326
1,328
1,353
1,370
1,373
1,378
1,383
1,386
1,394
1,403
1,442
1,468
1,475
1,499
2,27
2,36
2,37
2,46
2,51
2,59
2,77
2,84
2,89
2,104
2,106
2,107
2,109
2,132
2,147
2,164
2,200
2,208
2,210
2,211
2,215
2,238
2,251
2,270
2,295
2,306
2,321
2,333
2,338
2,352
2,358
2,360
2,371
2,404
2,417
2,421
2,432
2,435
2,439
2,443
2,444
2,449
2,470
2,481
2,493
3,9
3,18
3,49
3,54
3,67
3,85
3,111
3,120
3,139
3,141
3,150
3,161
3,168
3,178
3,181
3,182
3,191
3,202
3,215
3,225
3,228
3,229
3,237
3,249
3,265
3,269
3,285
3,293
3,305
3,323
3,335
3,340
3,381
3,403
3,408
3,425
3,437
3,465
3,470
3,474
3,496
3,507
4,9
4,24
4,73
4,77
4,96
4,102
4,115
4,149
4,163
4,166
4,172
4,190
4,198
4,199
4,216
4,221
4,222
4,233
4,241
4,249
4,266
4,272
4,287
4,294
4,299
4,308
4,325
4,333
4,339
4,345
4,346
4,357
4,358
4,379
4,389
4,390
4,392
4,393
4,403
4,409
4,410
4,414
4,422
4,436
4,465
4,488
4,496
4,506
5,1
5,5
5,37
5,52
5,84
5,90
5,98
5,100
5,101
5,107
5,110
5,112
5,129
5,131
5,134
5,143
5,161
5,185
5,191
5,204
5,212
5,228
5,241
5,275
5,283
5,286
5,319
5,344
5,355
5,379
5,392
5,415
5,424
5,466
5,468
5,471
5,478
5,482
5,485
5,487
5,491
5,493
6,24
6,27
6,33
6,37
6,42
6,46
6,66
6,71
6,73
6,84
6,85
6,112
6,129
6,132
6,137
6,142
6,144
6,145
6,158
6,164
6,168
6,185
6,201
6,254
6,279
6,309
6,312
6,329
6,335
6,345
6,354
6,365
6,372
6,379
6,383
6,407
6,423
6,441
6,446
6,456
6,468
6,484
6,495
6,505
7,2
7,10
7,15
7,20
7,35
7,71
7,72
7,76
7,83
7,87
7,93
7,101
7,118
7,120
7,128
7,132
7,154
7,158
7,160
7,165
7,167
7,193
7,202
7,206
7,228
7,239
7,242
7,245
7,282
7,287
7,288
7,327
7,353
7,395
7,412
7,423
7,429
7,434
7,489
7,493
7,499
7,504
7,508
8,2
8,11
8,19
8,22
8,74
8,78
8,87
8,110
8,115
8,131
8,148
8,149
8,155
8,176
8,189
8,191
8,239
8,275
8,296
8,297
8,308
8,318
8,325
8,331
8,342
8,356
8,373
8,389
8,392
8,414
8,432
8,433
8,436
8,448
8,477
8,507
8,509
9,30
9,49
9,68
9,71
9,83
9,111
9,129
9,130
9,138
9,154
9,157
9,168
9,171
9,183
9,194
9,214
9,239
9,259
9,282
9,286
9,300
9,304
9,310
9,343
9,361
9,363
9,380
9,395
9,399
9,416
9,420
9,436
9,439
9,443
9,446
9,466
9,483
9,501
9,506
10,3
10,5
10,10
10,32
10,48
10,50
10,87
10,154
10,172
10,173
10,176
10,188
10,211
10,222
10,223
10,236
10,240
10,267
10,299
10,314
10,331
10,338
10,341
10,345
10,349
10,354
10,363
10,378
10,389
10,393
10,400
10,413
10,424
10,490
10,494
11,9
11,38
11,59
11,63
11,78
11,84
11,111
11,122
11,127
11,137
11,148
11,153
11,163
11,181
11,197
11,214
11,234
11,238
11,247
11,255
11,256
11,322
11,339
11,343
11,374
11,381
11,402
11,410
11,415
11,422
11,438
11,469
11,471
11,488
11,503
12,11
12,37
12,48
12,60
12,98
12,103
12,140
12,145
12,151
12,155
12,160
12,168
12,182
12,217
12,220
12,223
12,228
12,232
12,234
12,242
12,253
12,266
12,286
12,288
12,299
12,303
12,307
12,327
12,372
12,395
12,399
12,404
12,419
12,444
12,459
12,473
12,475
12,491
13,2
13,3
13,6
13,26
13,76
13,80
13,101
13,119
13,124
13,128
13,129
13,172
13,202
13,204
13,234
13,257
13,265
13,270
13,286
13,311
13,321
13,328
13,329
13,347
13,348
13,352
13,373
13,390
13,423
13,427
13,446
13,455
13,482
13,487
13,506
14,5
14,6
14,18
14,19
14,33
14,47
14,48
14,58
14,69
14,77
14,88
14,90
14,105
14,112
14,127
14,138
14,192
14,212
14,215
14,226
14,231
14,249
14,283
14,302
14,315
14,318
14,329
14,335
14,354
14,382
14,383
14,396
14,403
14,420
14,428
14,435
14,439
14,447
14,452
14,476
14,486
14,508
15,6
15,22
15,51
15,65
15,81
15,111
15,130
15,143
15,160
15,166
15,169
15,185
15,193
15,220
15,226
15,250
15,267
15,291
15,296
15,303
15,306
15,309
15,346
15,347
15,375
15,379
15,381
15,391
15,396
15,404
15,426
15,475
15,486
15,488
15,495
15,508
16,23
16,25
16,74
16,91
16,94
16,110
16,115
16,129
16,133
16,140
16,160
16,174
16,180
16,182
16,185
16,203
16,204
16,210
16,216
16,227
16,233
16,243
16,246
16,269
16,271
16,278
16,299
16,300
16,324
16,333
16,337
16,341
16,376
16,384
16,433
16,439
16,441
16,442
16,480
16,482
16,498
17,34
17,53
17,54
17,68
17,72
17,93
17,95
17,106
17,117
17,132
17,166
17,173
17,174
17,196
17,211
17,265
17,266
17,272
17,273
17,284
17,294
17,296
17,297
17,324
17,331
17,333
17,369
17,372
17,378
17,413
17,422
17,436
17,466
17,467
17,477
17,488
17,495
17,499
18,13
18,34
18,42
18,49
18,53
18,62
18,91
18,93
18,94
18,95
18,108
18,125
18,152
18,165
18,168
18,184
18,212
18,229
18,244
18,246
18,264
18,283
18,284
18,285
18,305
18,306
18,326
18,343
18,379
18,386
18,398
18,399
18,403
18,405
18,436
18,440
18,468
18,471
18,483
18,497
18,500
19,14
19,20
19,26
19,46
19,47
19,62
19,63
19,75
19,82
19,92
19,110
19,123
19,129
19,145
19,174
19,212
19,223
19,245
19,250
19,255
19,263
19,291
19,313
19,337
19,381
19,431
19,435
19,436
19,452
19,469
19,482
19,483
19,498
19,502
19,506
20,13
20,15
20,34
20,55
20,56
20,76
20,89
20,94
20,95
20,117
20,123
20,134
20,136
20,138
20,140
20,170
20,198
20,251
20,278
20,287
20,289
20,290
20,298
20,335
20,347
20,366
20,401
20,407
20,423
20,430
20,445
20,474
20,507
21,33
21,41
21,48
21,54
21,62
21,71
21,88
21,91
21,100
21,116
21,119
21,178
21,181
21,198
21,208
21,214
21,220
21,222
21,253
21,255
21,268
21,292
21,301
21,331
21,333
21,340
21,376
21,378
21,388
21,392
21,409
21,436
21,440
21,459
21,467
21,470
21,502
22,8
22,17
22,23
22,30
22,36
22,41
22,52
22,58
22,60
22,77
22,81
22,102
22,104
22,145
22,149
22,175
22,181
22,193
22,195
22,205
22,215
22,223
22,252
22,264
22,270
22,279
22,281
22,293
22,300
22,309
22,310
22,316
22,317
22,328
22,349
22,355
22,384
22,390
22,405
22,423
22,434
22,444
22,453
22,470
22,482
22,511
23,4
23,25
23,33
23,46
23,58
23,73
23,78
23,93
23,95
23,105
23,106
23,107
23,119
23,146
23,163
23,164
23,193
23,224
23,248
23,260
23,262
23,263
23,279
23,280
23,306
23,316
23,363
23,376
23,379
23,389
23,390
23,434
23,435
23,443
23,456
23,482
24,2
24,3
24,57
24,74
24,76
24,87
24,110
24,115
24,148
24,155
24,161
24,176
24,182
24,184
24,189
24,191
24,194
24,239
24,275
24,283
24,296
24,307
24,318
24,331
24,339
24,342
24,354
24,356
24,373
24,389
24,392
24,414
24,432
24,448
24,497
24,503
24,507
24,509
25,0
25,2
25,30
25,42
25,49
25,63
25,111
25,129
25,130
25,138
25,157
25,183
25,210
25,214
25,239
25,259
25,270
25,286
25,310
25,337
25,361
25,367
25,380
25,395
25,399
25,416
25,420
25,424
25,436
25,439
25,443
25,466
25,479
26,3
26,10
26,32
26,48
26,50
26,60
26,74
26,87
26,125
26,129
26,154
26,172
26,173
26,176
26,188
26,208
26,211
26,223
26,238
26,240
26,273
26,299
26,305
26,314
26,329
26,331
26,338
26,345
26,348
26,349
26,354
26,363
26,400
26,424
26,428
26,442
26,490
26,507
27,9
27,12
27,25
27,35
27,56
27,78
27,111
27,122
27,137
27,148
27,153
27,169
27,181
27,193
27,194
27,197
27,214
27,234
27,322
27,339
27,343
27,374
27,381
27,383
27,402
27,410
27,415
27,422
27,438
27,469
27,471
28,11
28,37
28,48
28,57
28,60
28,98
28,100
28,103
28,140
28,145
28,155
28,160
28,168
28,217
28,220
28,228
28,234
28,266
28,272
28,286
28,288
28,299
28,303
28,304
28,334
28,372
28,395
28,399
28,419
28,444
28,459
28,475
28,489
28,491
28,502
29,6
29,12
29,71
29,76
29,80
29,101
29,128
29,129
29,138
29,147
29,202
29,220
29,257
29,277
29,286
29,311
29,321
29,328
29,329
29,343
29,346
29,347
29,348
29,352
29,373
29,390
29,423
29,427
29,441
29,444
29,446
29,454
29,487
29,489
29,490
29,506
30,5
30,19
30,33
30,38
30,48
30,77
30,105
30,127
30,131
30,192
30,215
30,249
30,283
30,288
30,302
30,315
30,319
30,351
30,354
30,366
30,382
30,383
30,403
30,428
30,431
30,435
30,439
30,452
30,476
30,486
30,493
30,508
31,37
31,51
31,65
31,81
31,111
31,130
31,160
31,169
31,185
31,193
31,220
31,226
31,241
31,250
31,267
31,291
31,296
31,336
31,346
31,347
31,370
31,379
31,381
31,391
31,404
31,475
31,476
31,488
31,495
32,23
32,26
32,31
32,39
32,91
32,94
32,109
32,115
32,160
32,163
32,174
32,180
32,182
32,185
32,210
32,216
32,246
32,269
32,299
32,300
32,324
32,332
32,333
32,337
32,341
32,376
32,384
32,399
32,405
32,433
32,439
32,442
32,463
32,471
32,482
32,498
32,505
33,16
33,34
33,54
33,68
33,72
33,90
33,106
33,117
33,132
33,173
33,174
33,187
33,210
33,216
33,265
33,266
33,272
33,273
33,284
33,287
33,294
33,331
33,333
33,369
33,372
33,378
33,422
33,477
33,488
33,495
34,34
34,42
34,49
34,53
34,62
34,80
34,91
34,94
34,95
34,108
34,122
34,152
34,162
34,165
34,168
34,184
34,199
34,212
34,229
34,244
34,246
34,264
34,283
34,285
34,305
34,306
34,353
34,358
34,361
34,379
34,386
34,398
34,403
34,459
34,468
34,471
34,473
34,500
35,10
35,14
35,20
35,22
35,26
35,82
35,92
35,104
35,110
35,113
35,123
35,129
35,145
35,147
35,161
35,174
35,207
35,212
35,223
35,250
35,263
35,328
35,381
35,428
35,431
35,435
35,436
35,440
35,443
35,452
35,482
35,498
35,502
35,504
35,506
36,13
36,28
36,34
36,55
36,69
36,76
36,82
36,94
36,95
36,117
36,123
36,134
36,136
36,138
36,140
36,168
36,170
36,202
36,218
36,251
36,289
36,298
36,326
36,347
36,359
36,423
36,430
36,445
36,447
36,459
36,468
36,474
36,507
37,33
37,41
37,48
37,58
37,71
37,91
37,100
37,111
37,116
37,119
37,120
37,129
37,178
37,181
37,187
37,201
37,208
37,214
37,220
37,222
37,226
37,253
37,268
37,292
37,301
37,331
37,378
37,392
37,409
37,419
37,440
37,459
37,470
37,479
37,502
38,8
38,16
38,17
38,24
38,30
38,52
38,60
38,77
38,78
38,81
38,102
38,104
38,145
38,149
38,175
38,177
38,178
38,193
38,215
38,252
38,264
38,270
38,279
38,281
38,293
38,300
38,309
38,316
38,317
38,328
38,345
38,349
38,355
38,384
38,390
38,396
38,405
38,423
38,434
38,444
38,453
38,470
38,482
38,511
39,25
39,33
39,46
39,60
39,105
39,107
39,114
39,119
39,139
39,164
39,181
39,234
39,238
39,248
39,306
39,355
39,356
39,363
39,376
39,387
39,407
39,410
39,434
39,435
39,443
39,454
39,456
39,482
40,25
40,56
40,91
40,100
40,106
